RMS_ch1,MAV_ch1,WL_ch1,SSC_ch1,RMS_ch2,MAV_ch2,WL_ch2,SSC_ch2,Label
229.16845332636865,434.5,4128772,0,241.58311199253976,437.73333333333335,3538951,0,0
227.5276100461949,434.64,4325372,0,240.62129304503927,437.7,3866624,0,0
225.5110935926065,434.08,4456426,0,241.74606511792493,437.32,4063227,0,0
226.0647104997446,434.37333333333333,4325362,0,242.0145450174431,437.46666666666664,3997694,0,0
227.55166446325987,434.14666666666665,4194315,0,242.18232800929138,437.56,4194304,0,0
222.64250866954106,434.5933333333333,4390914,0,240.0840824933354,437.9,4390916,0,0
223.1219845734615,433.8333333333333,4390912,0,240.19124324865246,437.46,4521988,0,0
224.40441172133848,434.99333333333334,4325419,0,235.2493287273455,438.26,4587541,0,0
211.44879600823774,434.2733333333333,4390866,0,223.16587254028485,437.2866666666667,4915195,0,0
208.1456381158795,434.1666666666667,4325371,0,219.2466039265679,437.3,4784126,0,0
216.60663270854226,434.31333333333333,3997703,0,224.59511719239728,437.02,4784136,0,0
210.32268858431163,435.7266666666667,4259839,0,215.3931134770407,437.87333333333333,4653044,0,0
209.68075734315727,433.3666666666667,3997676,0,218.7763393666387,436.55333333333334,4456437,0,0
215.19505880324792,434.2866666666667,3932192,0,222.31939486543527,437.46,4325383,0,0
208.37941357053484,435.47333333333336,3932152,0,216.1059153902703,437.8333333333333,4259830,0,0
203.0529323435969,433.92,4259825,0,207.33147373228212,437.55333333333334,4194294,0,0
204.06531634095327,434.4,4194313,0,204.31384355120596,438.1333333333333,4063249,0,0
203.51963050280924,434.16,4587534,0,193.9235588232298,437.8666666666667,4325394,0,0
202.45292456930986,433.97333333333336,4653056,0,190.29720614519454,437.53333333333336,4456446,0,0
200.7494292229329,433.6933333333333,4784154,0,190.6316517965122,437.68,4521993,0,0
203.9713868822455,434.7133333333333,4784137,0,199.09530381201864,437.98,4653060,0,0
201.57309674987218,433.5933333333333,4718605,0,202.17040667054448,436.88666666666666,4784129,0,0
199.61790166882994,434.16,4653047,0,208.980780615507,437.62,4653036,0,0
